,index,result,preprocessing_time,inference_time,translation_time,preprocessing_timeout,inference_timeout,belief_base,queries,query,inference_system,solver,optimizer
3055,4.0,False,0.0,223655.1,0.6,False,False,randomTest_100_120_16,,"(gtkupa|((!(hdswke;(lgqqmj,ngzray)));rwdldo))",c-inference,z3,rc2
3483,6.0,False,0.0,180922.3,0.6,False,False,randomTest_100_120_91,,"(((!mqxbdh),((hddlhj;mespgs);lwalgs))|(vifkza;(jysuxr;(qbmvpt,(!xcramf)))))",c-inference,z3,rc2
3098,3.0,False,0.0,110717.5,0.6,False,False,randomTest_100_120_24,,"(kfpzop|((!(!(!tzubcp))),((fyrrza,resgxy),((!iglvdl),lfnxmr))))",c-inference,z3,rc2
3478,1.0,False,165234.8,96415.6,3168.8,False,False,randomTest_100_120_91,,"(((((!(!(sreeig;kilxnq)));(!(dewate,acoqkl))),(ntkvkw;gthheh)),((!varmdi),kzjadc))|(hfkrye;wepmvo))",c-inference,z3,rc2
3517,10.0,False,0.0,90671.1,0.5,False,False,randomTest_100_120_94,,"((qyooux;kolfum)|((!tvmtue);((!(ztkccu;(sharlt,((gobfcx,(!axmsvj)),twbjep)))),((!cwfphi),ocfluz))))",c-inference,z3,rc2
3459,5.0,False,0.0,73517.5,0.6,False,False,randomTest_100_120_86,,"((((!cilbiy);hzawxz),oxwppn)|(xswxgv;qaovbn))",c-inference,z3,rc2
3364,2.0,False,0.0,60283.8,0.5,False,False,randomTest_100_120_75,,"(((gtgukf,nzaorp);wuhcld)|(mdgsny;(!gbfadm)))",c-inference,z3,rc2
3455,1.0,False,155751.6,59360.4,3196.9,False,False,randomTest_100_120_86,,"(((umbyeq;qltwvu),((gutapu;trjnrq),azamcc))|(rrdwwf;pujvmk))",c-inference,z3,rc2
3059,8.0,True,0.0,56451.3,0.4,False,False,randomTest_100_120_16,,"(jfnxom|(iircmk,(mvalqd,(pjlhlp,(!(pjvads;(bgjvrt;rohdue)))))))",c-inference,z3,rc2
3400,8.0,False,0.0,37290.3,0.8,False,False,randomTest_100_120_78,,"(((yhgumq;fhlgrc),(tmauoa,igrthd))|cxzgmh)",c-inference,z3,rc2
