,Unnamed: 0,signature size,amount of conditonals,index ckb,index query,compile time ckb (ms),compile time query (ms),solve time query (ms),result c representation,result system z,result system p
14920,14920,60,60,46,1,46906.98059201562,6836.7119140625,595279.518276,sat,False,False
17922,17922,70,70,96,3,134055.86528284376,743.028564453125,583165.331214,sat,False,False
20921,20921,90,90,47,1,99079.34025745312,150.143798828125,572306.416297,sat,False,False
20928,20928,90,90,47,8,99079.34025745312,712.657470703125,566532.233084,sat,False,False
23779,23779,100,100,89,19,157355.61951657812,6694.998046875,523292.49989,unsat,True,False
16123,16123,70,70,6,4,21361.580732453123,746.425537109375,508616.456889,sat,False,False
22925,22925,100,100,47,5,401509.2392642969,6463.782958984375,505262.659507,sat,False,False
21732,21732,90,90,87,12,582099.0346640156,416.901611328125,486028.144553,unsat,True,False
22386,22386,100,100,20,6,71023.37912317188,3339.6845703125,482986.678275,sat,False,False
19503,19503,80,80,75,4,87063.69877489062,965.09033203125,472724.703864,sat,False,False
17612,17612,70,70,80,13,42502.6234229375,219.13916015625,465673.480368,sat,False,False
15814,15814,60,60,90,15,43804.2532013125,11991.200927734377,462655.597615,sat,False,False
14934,14934,60,60,46,15,46906.98059201562,4560.760009765625,444914.43284,sat,False,False
18546,18546,80,80,27,7,58176.24490814062,890.747314453125,437922.138884,sat,False,False
17366,17366,70,70,68,7,28046.21523865625,486.72705078125,437463.570621,sat,False,False
20932,20932,90,90,47,12,99079.34025745312,373.62841796875,421785.926044,sat,False,False
14161,14161,60,60,8,2,23392.781964984373,322.718994140625,419111.916715,sat,False,False
19502,19502,80,80,75,3,87063.69877489062,3132.8642578125,411450.211304,unsat,False,False
17939,17939,70,70,96,20,134055.86528284376,295.343017578125,410285.082009,sat,False,False
14939,14939,60,60,46,20,46906.98059201562,41.640380859375,406653.342716,sat,False,False
22937,22937,100,100,47,17,401509.2392642969,18481.59765625,397095.388327,sat,False,False
18769,18769,80,80,38,10,113293.51162292188,6054.88330078125,392071.796278,sat,False,False
19044,19044,80,80,52,5,85190.3261888125,507.3701171875,377400.041886,sat,False,False
